tuberculosis of other specified organs	is a	medical condition
tuberculosis	can be spread through	sneezing loudly
sneezing loudly	can release	Mycobacterium tuberculosis
tuberculosis	can cause	night sweats
tuberculosis	can result in	pleurisy
pleurisy	can be caused by	tuberculosis
tuberculosis	can be spread through	shouting
shouting	can release	Mycobacterium tuberculosis
tuberculosis	can cause	chest tightness
chest tightness	is a	symptom of tuberculosis
tuberculosis	can lead to	meningitis
meningitis	can be caused by	tuberculosis
tuberculosis	can be spread through	coughing loudly
coughing loudly	can release	Mycobacterium tuberculosis
tuberculosis	can cause	night sweats
tuberculosis	can result in	pericarditis
pericarditis	can be caused by	tuberculosis
tuberculosis	can be spread through	singing loudly
singing loudly	can release	Mycobacterium tuberculosis
tuberculosis	can cause	chest discomfort
chest discomfort	is a	symptom of tuberculosis
tuberculosis	can lead to	hepatomegaly
hepatomegaly	can be caused by	tuberculosis
tuberculosis	can be spread through	shouting loudly
shouting loudly	can release	Mycobacterium tuberculosis
tuberculosis	can cause	night sweats
tuberculosis	can result in	pancytopenia
pancytopenia	can be caused by	tuberculosis
tuberculosis	can be spread through	coughing forcefully
coughing forcefully	can release	Mycobacterium tuberculosis
tuberculosis	can cause	chest congestion
chest congestion	is a	symptom of tuberculosis
tuberculosis	can lead to	uveitis
uveitis	can be caused by	tuberculosis
tuberculosis	can be spread through	singing forcefully
singing forcefully	can release	Mycobacterium tuberculosis
tuberculosis	can cause	night sweats
tuberculosis	can result in	osteomyelitis
osteomyelitis	can be caused by	tuberculosis
tuberculosis	can be spread through	shouting forcefully
shouting forcefully	can release	Mycobacterium tuberculosis
tuberculosis	can cause	difficulty swallowing
difficulty swallowing	is a	symptom of tuberculosis
tuberculosis	can lead to	tuberculous meningitis
tuberculous meningitis	can be caused by	tuberculosis
tuberculosis	can be spread through	coughing forcefully
coughing forcefully	can release	Mycobacterium tuberculosis
tuberculosis	can cause	night sweats
tuberculosis	can result in	spinal tuberculosis
spinal tuberculosis	can be caused by	tuberculosis
tuberculosis	can be spread through	singing forcefully
tuberculosis	can cause	chest tightness
tuberculosis	can lead to	urogenital tuberculosis
urogenital tuberculosis	can be caused by	tuberculosis
tuberculosis	can be spread through	shouting forcefully
shouting forcefully	can release	Mycobacterium tuberculosis
tuberculosis	can cause	difficulty breathing
difficulty breathing	is a	symptom of tuberculosis
tuberculosis	can lead to	adrenal insufficiency
adrenal insufficiency	can be caused by	tuberculosis
tuberculosis	can be spread through	coughing loudly
coughing loudly	can release	Mycobacterium tuberculosis
tuberculosis	can cause	night sweats
tuberculosis	can result in	miliary tuberculosis
miliary tuberculosis	can be caused by	tuberculosis
