actinomycotic infection	can occur in	any body site
actinomycotic infection	can involve	the male reproductive system
actinomycotic infection	can cause	prostatitis
actinomycotic infection	can result in	epididymo-orchitis
actinomycotic infection	can lead to	scrotal abscess
actinomycotic infection	can involve	the female reproductive system
actinomycotic infection	can cause	pelvic abscess
actinomycotic infection	can result in	vulvovaginitis
actinomycotic infection	can lead to	fallopian tube obstruction
actinomycotic infection	can cause	septicemia
actinomycotic infection	can involve	the lymphatic system
actinomycotic infection	can result in	lymphadenopathy
actinomycotic infection	can cause	dissemination
actinomycotic infection	can lead to	necrotizing fasciitis
actinomycotic infection	can involve	the musculoskeletal system
actinomycotic infection	can result in	myositis
actinomycotic infection	can cause	bursitis
actinomycotic infection	can lead to	tenosynovitis
actinomycotic infection	can result in	septic arthritis
actinomycotic infection	can cause	osteomyelitis
actinomycotic infection	can involve	the respiratory system
actinomycotic infection	can lead to	lung abscess
actinomycotic infection	can result in	pleurisy
actinomycotic infection	can cause	sinus infection
actinomycotic infection	can involve	the cardiovascular system
actinomycotic infection	can result in	endocarditis
actinomycotic infection	can cause	myocarditis
actinomycotic infection	can lead to	pericarditis
actinomycotic infection	can involve	the central nervous system
actinomycotic infection	can result in	brain abscess
actinomycotic infection	can cause	meningitis
actinomycotic infection	can lead to	cranial nerve palsies
actinomycotic infection	can involve	the integumentary system
actinomycotic infection	can result in	skin ulcers
actinomycotic infection	can cause	cellulitis
actinomycotic infection	can lead to	cutaneous fistulas
actinomycotic infection	can involve	the gastrointestinal system
actinomycotic infection	can result in	abdominal pain
actinomycotic infection	can cause	diarrhea
actinomycotic infection	can lead to	malabsorption
actinomycotic infection	can involve	the genitourinary system
actinomycotic infection	can result in	urinary tract infections
actinomycotic infection	can cause	pelvic inflammatory disease
actinomycotic infection	can lead to	tubo-ovarian abscess
actinomycotic infection	can result in	infertility
actinomycotic infection	can involve	the ophthalmic system
actinomycotic infection	can cause	conjunctivitis
actinomycotic infection	can lead to	blepharitis
actinomycotic infection	can involve	the otolaryngologic system
actinomycotic infection	can result in	tonsillitis
actinomycotic infection	can cause	otitis media
actinomycotic infection	can lead to	neck abscess
actinomycotic infection	can involve	the musculoskeletal system
actinomycotic infection	can result in	arthritis
actinomycotic infection	can cause	myositis
actinomycotic infection	can lead to	abscess formation
actinomycotic infection	can involve	the respiratory system
actinomycotic infection	can result in	pneumonia
actinomycotic infection	can cause	pleurisy
actinomycotic infection	can lead to	empyema
actinomycotic infection	can involve	the cardiovascular system
actinomycotic infection	can result in	pericarditis
actinomycotic infection	can cause	myocarditis
actinomycotic infection	can lead to	valvular involvement
actinomycotic infection	can involve	the central nervous system
actinomycotic infection	can result in	brain abscess
actinomycotic infection	can cause	meningitis
actinomycotic infection	can lead to	cranial nerve palsies
actinomycotic infection	can involve	the integumentary system
actinomycotic infection	can result in	cellulitis
actinomycotic infection	can cause	skin ulcers
actinomycotic infection	can lead to	draining sinuses
actinomycotic infection	can involve	the gastrointestinal system
actinomycotic infection	can result in	abdominal pain
actinomycotic infection	can cause	diarrhea
actinomycotic infection	can lead to	malnutrition
actinomycotic infection	can involve	the genitourinary system
actinomycotic infection	can result in	urinary tract infections
actinomycotic infection	can cause	pelvic inflammatory disease
actinomycotic infection	can lead to	tubo-ovarian abscess
actinomycotic infection	can involve	the ophthalmic system
actinomycotic infection	can result in	conjunctivitis
actinomycotic infection	can lead to	orbital cellulitis
actinomycotic infection	can involve	the otolaryngologic system
actinomycotic infection	can cause	tonsillitis
actinomycotic infection	can result in	otitis media
actinomycotic infection	can lead to	neck abscess
actinomycotic infection	can involve	the musculoskeletal system
actinomycotic infection	can result in	arthritis
actinomycotic infection	can cause	osteomyelitis
actinomycotic infection	can lead to	granulomatous inflammation
actinomycotic infection	can involve	the respiratory system
actinomycotic infection	can result in	pneumonia
actinomycotic infection	can cause	pleurisy
actinomycotic infection	can lead to	empyema
actinomycotic infection	can involve	the cardiovascular system
actinomycotic infection	can result in	endocarditis
actinomycotic infection	can cause	myocarditis
actinomycotic infection	can lead to	valvular involvement
actinomycotic infection	can involve	the central nervous system
actinomycotic infection	can result in	meningitis
actinomycotic infection	can cause	brain abscess
actinomycotic infection	can lead to	cranial nerve palsies
actinomycotic infection	can involve	the integumentary system
actinomycotic infection	can result in	cellulitis
actinomycotic infection	can cause	skin ulcers
actinomycotic infection	can lead to	cutaneous sinuses
actinomycotic infection	can involve	the gastrointestinal system
actinomycotic infection	can result in	abdominal pain
actinomycotic infection	can cause	diarrhea
actinomycotic infection	can lead to	malnutrition
actinomycotic infection	can involve	the genitourinary system
actinomycotic infection	can result in	urinary tract infections
actinomycotic infection	can cause	pelvic inflammatory disease
actinomycotic infection	can lead to	tubo-ovarian abscess
actinomycotic infection	can involve	the ophthalmic system
actinomycotic infection	can result in	conjunctivitis
actinomycotic infection	can lead to	blepharitis
actinomycotic infection	can involve	the otolaryngologic system
actinomycotic infection	can result in	tonsillitis
actinomycotic infection	can cause	otitis media
actinomycotic infection	can lead to	neck abscess
actinomycotic infection	can involve	the musculoskeletal system
actinomycotic infection	can result in	arthritis
actinomycotic infection	can cause	myositis
actinomycotic infection	can lead to	abscess formation
actinomycotic infection	can involve	the respiratory system
actinomycotic infection	can result in	pneumonia
actinomycotic infection	can cause	pleurisy
actinomycotic infection	can lead to	empyema
actinomycotic infection	can involve	the cardiovascular system
actinomycotic infection	can result in	endocarditis
actinomycotic infection	can cause	myocarditis
actinomycotic infection	can lead to	valvular involvement
actinomycotic infection	can involve	the central nervous system
actinomycotic infection	can result in	meningitis
actinomycotic infection	can cause	brain abscess
actinomycotic infection	can lead to	cranial nerve palsies
actinomycotic infection	can involve	the integumentary system
actinomycotic infection	can result in	cellulitis
actinomycotic infection	can cause	skin ulcers
actinomycotic infection	can lead to	cutaneous sinuses
actinomycotic infection	can involve	the gastrointestinal system
actinomycotic infection	can result in	abdominal pain
actinomycotic infection	can cause	diarrhea
actinomycotic infection	can lead to	malnutrition
actinomycotic infection	can involve	the genitourinary system
actinomycotic infection	can result in	urinary tract infections
actinomycotic infection	can cause	pelvic inflammatory disease
actinomycotic infection	can lead to	tubo-ovarian abscess
actinomycotic infection	can involve	the ophthalmic system
actinomycotic infection	can result in	conjunctivitis
actinomycotic infection	can lead to	blepharitis
actinomycotic infection	can involve	the otolaryngologic system
actinomycotic infection	can result in	tonsillitis
actinomycotic infection	can cause	otitis media
actinomycotic infection	can lead to	neck abscess
actinomycotic infection	can involve	the musculoskeletal system
actinomycotic infection	can result in	arthritis
actinomycotic infection	can cause	osteomyelitis
actinomycotic infection	can lead to	granulomatous inflammation
actinomycotic infection	can involve	the respiratory system
actinomycotic infection	can result in	pneumonia
actinomycotic infection	can cause	pleurisy
actinomycotic infection	can lead to	empyema
actinomycotic infection	can involve	the cardiovascular system
actinomycotic infection	can result in	endocarditis
actinomycotic infection	can cause	myocarditis
actinomycotic infection	can lead to	valvular involvement
actinomycotic infection	can involve	the central nervous system
actinomycotic infection	can result in	meningitis
actinomycotic infection	can cause	brain abscess
