other specified pulmonary tuberculosis	is a subtype of	pulmonary tuberculosis
other specified pulmonary tuberculosis	can cause	coughing up blood
other specified pulmonary tuberculosis	is linked to	smoking
other specified pulmonary tuberculosis	can be prevented through	proper ventilation
other specified pulmonary tuberculosis	is associated with	chest tightness
other specified pulmonary tuberculosis	requires	regular follow-up
other specified pulmonary tuberculosis	may result in	pulmonary fibrosis
other specified pulmonary tuberculosis	is often diagnosed through	bronchoscopy
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	is a	chronic disease
other specified pulmonary tuberculosis	can cause	fatigue
other specified pulmonary tuberculosis	can result in	chest pain
other specified pulmonary tuberculosis	requires	specialized care
other specified pulmonary tuberculosis	may result in	pulmonary hemorrhage
other specified pulmonary tuberculosis	is often detected with	acid-fast bacilli smear
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be referred to	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	anorexia
other specified pulmonary tuberculosis	may cause	respiratory symptoms
other specified pulmonary tuberculosis	requires	extended treatment
other specified pulmonary tuberculosis	can result in	lung cavitation
other specified pulmonary tuberculosis	is often diagnosed through	tuberculin skin test
other specified pulmonary tuberculosis	can be confirmed with	nucleic acid amplification testing
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can cause	shortness of breath
other specified pulmonary tuberculosis	is linked to	HIV infection
other specified pulmonary tuberculosis	can be prevented through	airborne precautions
other specified pulmonary tuberculosis	is associated with	productive cough
other specified pulmonary tuberculosis	requires	long-term care
other specified pulmonary tuberculosis	may result in	pleural effusion
other specified pulmonary tuberculosis	is often diagnosed through	chest CT scan
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be managed by	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	can cause	weight loss
other specified pulmonary tuberculosis	requires	frequent monitoring
other specified pulmonary tuberculosis	can result in	lung abscess
other specified pulmonary tuberculosis	is often diagnosed through	sputum smear microscopy
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	may cause	malaise
other specified pulmonary tuberculosis	requires	close monitoring
other specified pulmonary tuberculosis	can result in	bronchiectasis
other specified pulmonary tuberculosis	is a	chronic infection
other specified pulmonary tuberculosis	can be managed with	supportive care
other specified pulmonary tuberculosis	should be reported to	public health authorities
other specified pulmonary tuberculosis	is a	lung disorder
other specified pulmonary tuberculosis	can cause	coughing up blood
other specified pulmonary tuberculosis	is linked to	smoking
other specified pulmonary tuberculosis	can be prevented through	proper ventilation
other specified pulmonary tuberculosis	is associated with	chest tightness
other specified pulmonary tuberculosis	requires	regular follow-up
other specified pulmonary tuberculosis	may result in	pulmonary fibrosis
other specified pulmonary tuberculosis	is often diagnosed through	bronchoscopy
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	is a	chronic disease
other specified pulmonary tuberculosis	can cause	fatigue
other specified pulmonary tuberculosis	can result in	chest pain
other specified pulmonary tuberculosis	requires	specialized care
other specified pulmonary tuberculosis	may result in	pulmonary hemorrhage
other specified pulmonary tuberculosis	is often detected with	acid-fast bacilli smear
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be referred to	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	anorexia
other specified pulmonary tuberculosis	may cause	respiratory symptoms
other specified pulmonary tuberculosis	requires	extended treatment
other specified pulmonary tuberculosis	can result in	lung cavitation
other specified pulmonary tuberculosis	is often diagnosed through	tuberculin skin test
other specified pulmonary tuberculosis	can be confirmed with	nucleic acid amplification testing
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can cause	shortness of breath
other specified pulmonary tuberculosis	is linked to	HIV infection
other specified pulmonary tuberculosis	can be prevented through	airborne precautions
other specified pulmonary tuberculosis	is associated with	productive cough
other specified pulmonary tuberculosis	requires	long-term care
other specified pulmonary tuberculosis	may result in	pleural effusion
other specified pulmonary tuberculosis	is often diagnosed through	chest CT scan
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be managed by	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	can cause	weight loss
other specified pulmonary tuberculosis	requires	frequent monitoring
other specified pulmonary tuberculosis	can result in	lung abscess
other specified pulmonary tuberculosis	is often diagnosed through	sputum smear microscopy
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	may cause	malaise
other specified pulmonary tuberculosis	requires	close monitoring
other specified pulmonary tuberculosis	can result in	bronchiectasis
other specified pulmonary tuberculosis	is a	chronic infection
other specified pulmonary tuberculosis	can be managed with	supportive care
other specified pulmonary tuberculosis	should be reported to	public health authorities
other specified pulmonary tuberculosis	is a	lung disorder
other specified pulmonary tuberculosis	can cause	coughing up blood
other specified pulmonary tuberculosis	is linked to	smoking
other specified pulmonary tuberculosis	can be prevented through	proper ventilation
other specified pulmonary tuberculosis	is associated with	chest tightness
other specified pulmonary tuberculosis	requires	regular follow-up
other specified pulmonary tuberculosis	may result in	pulmonary fibrosis
other specified pulmonary tuberculosis	is often diagnosed through	bronchoscopy
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	is a	chronic disease
other specified pulmonary tuberculosis	can cause	fatigue
other specified pulmonary tuberculosis	can result in	chest pain
other specified pulmonary tuberculosis	requires	specialized care
other specified pulmonary tuberculosis	is often detected with	acid-fast bacilli smear
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be referred to	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	anorexia
other specified pulmonary tuberculosis	may cause	respiratory symptoms
other specified pulmonary tuberculosis	requires	extended treatment
other specified pulmonary tuberculosis	can result in	lung cavitation
other specified pulmonary tuberculosis	is often diagnosed through	tuberculin skin test
other specified pulmonary tuberculosis	can be confirmed with	nucleic acid amplification testing
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can cause	shortness of breath
other specified pulmonary tuberculosis	is linked to	HIV infection
other specified pulmonary tuberculosis	can be prevented through	airborne precautions
other specified pulmonary tuberculosis	is associated with	productive cough
other specified pulmonary tuberculosis	requires	long-term care
other specified pulmonary tuberculosis	may result in	pleural effusion
other specified pulmonary tuberculosis	is often diagnosed through	chest CT scan
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be managed by	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	can cause	weight loss
other specified pulmonary tuberculosis	requires	frequent monitoring
other specified pulmonary tuberculosis	can result in	lung abscess
other specified pulmonary tuberculosis	is often diagnosed through	sputum smear microscopy
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	may cause	malaise
other specified pulmonary tuberculosis	requires	close monitoring
other specified pulmonary tuberculosis	can result in	bronchiectasis
other specified pulmonary tuberculosis	is a	chronic infection
other specified pulmonary tuberculosis	can be managed with	supportive care
other specified pulmonary tuberculosis	should be reported to	public health authorities
other specified pulmonary tuberculosis	is a	lung disorder
other specified pulmonary tuberculosis	can cause	coughing up blood
other specified pulmonary tuberculosis	is linked to	smoking
other specified pulmonary tuberculosis	can be prevented through	proper ventilation
other specified pulmonary tuberculosis	is associated with	chest tightness
other specified pulmonary tuberculosis	requires	regular follow-up
other specified pulmonary tuberculosis	may result in	pulmonary fibrosis
other specified pulmonary tuberculosis	is often diagnosed through	bronchoscopy
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	is a	chronic disease
other specified pulmonary tuberculosis	can cause	fatigue
other specified pulmonary tuberculosis	can result in	chest pain
other specified pulmonary tuberculosis	requires	specialized care
other specified pulmonary tuberculosis	is often detected with	acid-fast bacilli smear
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be referred to	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	anorexia
other specified pulmonary tuberculosis	may cause	respiratory symptoms
other specified pulmonary tuberculosis	requires	extended treatment
other specified pulmonary tuberculosis	can result in	lung cavitation
other specified pulmonary tuberculosis	is often diagnosed through	tuberculin skin test
other specified pulmonary tuberculosis	can be confirmed with	nucleic acid amplification testing
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can cause	shortness of breath
other specified pulmonary tuberculosis	is linked to	HIV infection
other specified pulmonary tuberculosis	can be prevented through	airborne precautions
other specified pulmonary tuberculosis	is associated with	productive cough
other specified pulmonary tuberculosis	requires	long-term care
other specified pulmonary tuberculosis	may result in	pleural effusion
other specified pulmonary tuberculosis	is often diagnosed through	chest CT scan
other specified pulmonary tuberculosis	can be confirmed by	mycobacterial culture
other specified pulmonary tuberculosis	should be managed by	a pulmonologist
other specified pulmonary tuberculosis	can lead to	respiratory failure
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	can cause	weight loss
other specified pulmonary tuberculosis	requires	frequent monitoring
other specified pulmonary tuberculosis	can result in	lung abscess
other specified pulmonary tuberculosis	is often diagnosed through	sputum smear microscopy
other specified pulmonary tuberculosis	can be detected with	interferon-gamma release assay
other specified pulmonary tuberculosis	should be evaluated by	a respiratory specialist
other specified pulmonary tuberculosis	can lead to	respiratory distress
other specified pulmonary tuberculosis	is associated with	night sweats
other specified pulmonary tuberculosis	may cause	malaise
other specified pulmonary tuberculosis	requires	close monitoring
other specified pulmonary tuberculosis	can result in	bronchiectasis
other specified pulmonary tuberculosis	is a	chronic infection
other specified pulmonary tuberculosis	can be managed with	supportive care
other specified pulmonary tuberculosis	should be reported to	public health authorities
other specified pulmonary tuberculosis	is a	lung disorder
other specified pulmonary tuberculosis	can cause	coughing up blood
